Towns,PD
,
Dublin City,3677.5
Galway City,1475.2
Cork City,3300
Limerick City,1591.2
Waterford City,1107.5
Drogheda,2776.6
Swords,3791.7
Dundalk,1651
Bray,4035.7
Navan,2332.8
Kilkenny,2115.9
Ennis,1286.6
Carlow,2063.4
Tralee,1260.6
Droichead Nua,2578.2
Portlaoise,1829.3
Balbriggan,4514.1
Naas,2567.7
Athlone,1338.8
Mullingar,1575
Celbridge,3463.5
Wexford,998
Letterkenny,1240
Sligo,1858.5
Greystones,2036.6
Clonmel,1636.4
Malahide,2850.3
Carrigaline,3430.1
Leixlip,3138.9
Tullamore,1101.5
Maynooth,2818.8
Killarney,1796.3
Arklow,2492.5
Cobh,2521.9
Ashbourne,3847.6
Midleton,1611.6
Mallow,1517.9
Castlebar,1534.8
Laytown-Bettystown-Mornington,2062.5
Enniscorthy,1977.2
Cavan,1337.3
Wicklow,2015.2
Tramore,1799.5
Ballina,1508.9
Skerries,3101.4
Longford,1387.3
Rush,1699.5
Gorey,1856
Shannon,1387.5
Athy,1557.5
Ratoath,3254.8
Portmarnock,2587.3
Dungarvan,2050.7
Trim,1652.3
Nenagh,1453.3
Tuam,1354.4
Kildare,2781.4
Portarlington,1980.4
New Ross,1311.6
Youghal,1562.7
Thurles,1151.3
Lusk,4052
Monaghan,1146.1
Donabate,3858.3
Edenderry,1724.6
Clane,2483.7
Dunboyne,3563.8
Bandon,1694.3
Buncrana,821.9
Ballinasloe,773.8
Kinsealy-Drinan,5830.3
Newcastle West,1423.6
Fermoy,1428.1
Westport,798.1
Kells,2197.7
Kilcock,3406.3
Roscommon,644.8
Sallins,3883.5
Passage West,1053.6
Carrick-on-Suir,1779.9
Loughrea,1344
Blessington,3139.7
Roscrea,895.7
Kinsale,1229.3
Carrigtwohill,3303.9
Carrickmacross,1362.2
Oranmore,2016.3
Tipperary,1205.4
Ardee,1921.5
Ballybofey-Stranorlar,932.1
Listowel,889.8
Mountmellick,1569.7
Tullow,1057.3
Clonakilty,1337.8
Athenry,1623.6
Cashel,1665.6
Birr,1329.5
Rathcoole,3120.7
Monasterevin,1235.2
Kilcoole,2438.2
Duleek,2329.5
Carrick-on-Shannon,999.9
Dunshaughlin,2251.1
Rathluirc,1266.9
Macroom,1230.3
Mitchelstown,1323.5
Kilcullen,1964.8
Claremorris,1111.3
Castleblayney,1348.6
Cahir,1351.3
Courtown Harbour,1091
Tower,1740.3
Rathnew,2896.5
Stamullen,3627.6
Kill,2995.1
Clara,859.6
Enfield,2506.3
Saggart,3274.4
Newcastle,1451.6
Gort,871.3
Annacotty,1851.7
Muinebeag,862.9
Newtownmountkennedy,1539.3
Ballinrobe,1087.7
Skibbereen,892.2
Moate,1422.7
Kinnegad,2739.9
Bantry,1179
Kilrush,821.6
Bailieborough,649.6
Ballyjamesduff,1574.4
Virginia,1328.8
Ballina (North Tipperary),1170
Sixmilebridge,2114.2
Donegal,891.4
Rathangan,1007.7
Crosshaven,1273.6
Boyle,679.8
Blarney,1370.8
Kingscourt,1495.7
Castleisland,731.9
Callan,1188.9
Carndonagh,505.8
Thomastown,739.2
Athboy,1798
Kenmare,768.5
Ballyhaunis,969.1
Kanturk,753.2
Prosperous,1707.8
Ballyshannon,790.4
Killorglin,923.9
Clogherhead,1473.9
Baltinglass,800.4
Castleconnell,1296.6
Edgeworthstown,1514.1
Dingle,620.4
Abbeyfeale,1069.2
Balrothery,3786.7
Bearna,1057.6
Newport,1345.4
Castlerea,868.9
Tubbercurry,877.6
Bunclody-Carrickduff,1096.4
Bundoran,586.6
Templemore,875.9
Enniskerry,1013.2
Ballymahon,1140.9
Cootehill,1002.4
Castlebridge,919.1
Dunleer,1168.2
Ballivor,1855.3
Ballaghaderreen,852.1
Dunmore East,912
Cloyne,1909.7
Newmarket-on-Fergus,1122.8
Mountrath,1024.7
Abbeyleix,548.6
Rathcormac,2069.4
Banagher,961.1
Strandhill,1517.4
Portlaw,1757.8
Moycullen,1243.5
Clones,878.5
Kilmallock,827.2
Rathdrum,1364.1
Dunmanway,910.9
Lifford,1347
Rosslare,663.4
Collooney,1325.3
Derrinturn,1062.3
Castlemartyr,2115.4
Clifden,674.1
Longwood,2509
Termonfeckin,1357.7
Millstreet,762.5
Ballymote,969.6
Tullyallen,1770.3
Fethard,1016.5
Convoy,1030.6
Castlecomer-Donaguile,980.7
Tallow,1064
Ballymacarbry,748.5 
Watergrasshill,1892
Lismore,1254
Tarbert,658
Adare, 1292
Rural Areas,21.7
