Place Name,CSOED,PD,LUX
"049 Drumcondra South C, Dublin City",02049,4738.4,152.020517364
"050 Edenmore, Dublin City",02050,4886.3,157.212644478
"051 Finglas North A, Dublin City",02051,4591.3,146.856474778
"052 Finglas North B, Dublin City",02052,4438.9,141.506372194
"053 Finglas North C, Dublin City",02053,3121.4,95.254665144
"054 Finglas South A, Dublin City",02054,4964.7,159.964928222
"055 Finglas South B, Dublin City",02055,4270.7,135.601600182
"056 Finglas South C, Dublin City",02056,7266.4,240.767625844
"057 Finglas South D, Dublin City",02057,5627,183.21540684
"058 Grace Park, Dublin City",02058,4669.3,149.594716258
"059 Grange A, Dublin City",02059,5816.5,189.86792941
"060 Grange B, Dublin City",02060,4664.8,149.436740788
"061 Grange C, Dublin City",02061,6481.9,213.227235574
"062 Grange D, Dublin City",02062,6046.7,197.949252342
"063 Grange E, Dublin City",02063,4880.3,157.002010518
"064 Harmonstown A, Dublin City",02064,4608.3,147.453270998
"065 Harmonstown B, Dublin City",02065,4808.3,154.474402998
"066 Inns Quay A, Dublin City",02066,12595,427.83164572
"067 Inns Quay B, Dublin City",02067,13271.8,451.591156408
"068 Inns Quay C, Dublin City",02068,9994.5,336.53937689
"069 Kilmore A, Dublin City",02069,4734.2,151.873073592
"070 Kilmore B, Dublin City",02070,5606.4,182.492230244
"071 Kilmore C, Dublin City",02071,2825.9,84.880942614
"072 Kilmore D, Dublin City",02072,3909.3,122.914414658
"073 Mountjoy A, Dublin City",02073,18024.7,618.444847822
"074 Mountjoy B, Dublin City",02074,17720.5,607.76570605
"075 North City, Dublin City",02075,10540.9,355.721109514
"076 North Dock A, Dublin City",02076,9960.3,335.338763318
"077 North Dock B, Dublin City",02077,2350.7,68.198732982
"078 North Dock C, Dublin City",02078,7988.6,266.120933496
"079 Phoenix Park, Dublin City",02079,212.4,-6.867699796
"080 Priorswood A, Dublin City",02080,935.6,18.520713516
"081 Priorswood B, Dublin City",02081,5936.7,194.087629742
"082 Priorswood C, Dublin City",02082,5511.5,179.16070311
"083 Priorswood D, Dublin City",02083,3518.4,109.191612164
"084 Priorswood E, Dublin City",02084,6963.2,230.123589732
"085 Raheny-Foxfield, Dublin City",02085,4255.4,135.064483584
"086 Raheny-Greendale, Dublin City",02086,4948.7,159.403237662
"087 Raheny-St. Assam, Dublin City",02087,1556.7,40.324838942
"088 Rotunda A, Dublin City",02088,23926.4,825.627921444
"089 Rotunda B, Dublin City",02089,11795.5,399.76467055
"090 Whitehall A, Dublin City",02090,2497.1,73.338201606
"091 Whitehall B, Dublin City",02091,5489.7,178.395399722
"092 Whitehall C, Dublin City",02092,2933.5,88.65831163
"093 Whitehall D, Dublin City",02093,5050.3,162.969972718
"094 Chapelizod, Dublin City",02094,2808.9,84.284146394
"095 Cherry Orchard A, Dublin City",02095,3322.7,102.321434502
"096 Carna, Dublin City",02096,4953.4,159.568234264
"097 Cherry Orchard C, Dublin City",02097,3228.2,99.003949632
"098 Crumlin A, Dublin City",02098,6948.1,229.593494266
