 Electoral_Area,PD
"008 Clash, Co. Laois",24.8
"009 Clonkeen, Co. Laois",25.7
"010 Colt, Co. Laois",17.3
"011 Cuffsborough, Co. Laois",16.9
"012 Cullahill, Co. Laois",21.3
"013 Cullenagh, Co. Laois",11.7
"014 Donaghmore, Co. Laois",19
"015 Donore, Co. Laois",20
"016 Dunmore, Co. Laois",26.1
"017 Durrow, Co. Laois",48.9
"018 Dysartgallen, Co. Laois",12.3
"019 Fossy, Co. Laois",10.1
"020 Grantstown, Co. Laois",17.9
"021 Kilcoke, Co. Laois",12.4
"022 Kildellig, Co. Laois",16.5
"023 Killermogh, Co. Laois",18.8
"024 Kilnaseer, Co. Laois",18.8
"025 Raheen, Co. Laois",23.5
"026 Rathdowney, Co. Laois",67.4
"027 Timahoe, Co. Laois",23
"028 Ballyadams, Co. Laois",24.6
"029 Ballylynan, Co. Laois",102.3
"030 Barrowhouse, Co. Laois",37.5
"031 Curraclone, Co. Laois",21
"032 Killabban, Co. Laois",34.6
"033 Luggacurren, Co. Laois",12.4
"034 Moyanna, Co. Laois",23
"035 Rathaspick, Co. Laois",15.7
"036 Stradbally, Co. Laois",88
"037 Tankardstown, Co. Laois",24.2
"038 Timogue, Co. Laois",18.4
"039 Vicarstown, Co. Laois",15.9
"040 Arderin, Co. Laois",11.7
"041 Ballybrittas, Co. Laois",82.3
"042 Ballycarroll, Co. Laois",33
"043 Ballyfin, Co. Laois",19
"044 Borris, Co. Laois",97.5
"045 Brisha, Co. Laois",17
"046 Capard, Co. Laois",3.1
"047 Cappalough, Co. Laois",20.9
"048 Cardtown, Co. Laois",6.8
"049 Castlecuffe, Co. Laois",13.4
"050 Clonaslee, Co. Laois",22.7
"051 Clondarrig, Co. Laois",124.1
"052 Clonin, Co. Laois",17.2
"053 Coolrain, Co. Laois",25.5
"054 Dangans, Co. Laois",135.9
"055 Emo, Co. Laois",33.8
"056 Garrymore, Co. Laois",19.9
"057 Graigue, Co. Laois",14.3
"058 Jamestown, Co. Laois",33.3
"059 Kilcolmanbane, Co. Laois",32.2
"060 Kilmullen, Co. Laois",41.1
"061 Kilmurry, Co. Laois",28.8
"062 Lacka, Co. Laois",11.3
"063 Marymount, Co. Laois",9.9
"064 Meelick, Co. Laois",25
"065 Mountmellick Rural, Co. Laois",62.5
"066 Mountmellick Urban, Co. Laois",1333.5
"067 Mountrath, Co. Laois",100.9
"068 Nealstown, Co. Laois",4.6
"069 O'More's Forest, Co. Laois",24.5
"070 Portarlington South, Co. Laois",625.7
"071 Portlaoighise (Maryborough) Rural, Co. Laois",746.2
"072 Portlaoighise (Maryborough) Urban, Co. Laois",1908.3
"073 Rearymore, Co. Laois",17.4
"074 Rosenallis, Co. Laois",22.3
"075 Sallyford, Co. Laois",29.6
"076 Shaen, Co. Laois",39.4
"077 Tinnahinch, Co. Laois",6.3
"078 Trumra, Co. Laois",13.8
"079 Ballybrophy, Co. Laois",19.1
"080 Borris-in-Ossory, Co. Laois",40.2
"081 Clonmore, Co. Laois",13.9
"082 Errill, Co. Laois",23
"083 Kyle, Co. Laois",10.9
"084 Kyle South, Co. Laois",11.7
"085 Moneenalassa, Co. Laois",12.7
"086 Moneymore, Co. Laois",13.9
"087 Rathsaran, Co. Laois",38.4
"088 Ardough, Co. Laois",19.4
"089 Arless, Co. Laois",26.4
"090 Ballickmoyler, Co. Laois",47.2
"091 Ballylehane, Co. Laois",25
"092 Doonane, Co. Laois",55.1
"093 Farnans, Co. Laois",15
"094 Graigue Rural, Co. Laois",283
"095 Newtown, Co. Laois",27.4
"096 Rossmore, Co. Laois",36.5
"097 Shrule, Co. Laois",25.5
"098 Turra, Co. Laois",22.9
"001 Longford No. 1 Urban, Co. Longford",2068.8
"002 Longford No. 2 Urban, Co. Longford",631.8
"003 Agharra, Co. Longford",23.9
"004 Ballymahon, Co. Longford",83.3
"005 Cashel East, Co. Longford",10.7
"006 Cashel West, Co. Longford",15.7
"007 Doory, Co. Longford",16.8
"008 Forgney, Co. Longford",18.3
"009 Foxhall, Co. Longford",28.6
"010 Kilcommock, Co. Longford",34
"011 Kilglass, Co. Longford",21.1
"012 Ledwithstown, Co. Longford",13.5
"013 Abbeylara, Co. Longford",25.9
"014 Ballinalee, Co. Longford",45.5
"015 Ballymuigh, Co. Longford",20.2
"016 Bunlahy, Co. Longford",18.2
"017 Columbkille, Co. Longford",27.4
"018 Coolamber, Co. Longford",19.2
"019 Creevy, Co. Longford",22.3
"020 Crosagstown, Co. Longford",20.5
"021 Currygrane, Co. Longford",14.8
"022 Dalystown, Co. Longford",22.2
"023 Drummeel, Co. Longford",14.1
"024 Firry, Co. Longford",16.7
"025 Gelshagh, Co. Longford",22.3
"026 Granard Rural, Co. Longford",18.3
"027 Granard Urban, Co. Longford",135.6
"028 Knockanbaun, Co. Longford",18.3
"029 Lislea, Co. Longford",16.4
"030 Meathas Truim, Co. Longford",173.4
"031 Milltown, Co. Longford",20.5
"032 Moatfarrell, Co. Longford",24.3
"033 Moyne, Co. Longford",18.7
"034 Mullanalaghta, Co. Longford",16
"035 Newgrove, Co. Longford",2.8
"036 Sonnagh, Co. Longford",16.8
"037 Aghaboy, Co. Longford",45.9
"038 Ardagh East, Co. Longford",22.3
"039 Ardagh West, Co. Longford",22.9
"040 Ballinamuck East, Co. Longford",29.8
"041 Ballinamuck West, Co. Longford",19.1
"042 Breanrisk, Co. Longford",41.8
"043 Caldragh, Co. Longford",104.4
"044 Cloondara, Co. Longford",26
"045 Cloonee, Co. Longford",32.4
"046 Corboy, Co. Longford",18.8
"047 Drumgort, Co. Longford",22.3
"048 Drumlish, Co. Longford",73.8
"049 Killashee, Co. Longford",20.4
"050 Killoe, Co. Longford",17.9
"051 Longford Rural (Part Urban), Co. Longford",217.9
"052 Mountdavis, Co. Longford",8.6
"053 Moydow, Co. Longford",26
"054 Newtown Forbes, Co. Longford",34.7
"055 Rathcline, Co. Longford",43.1
"001 Fair Gate, Co. Louth",4077.9
"002 St. Laurence Gate, Co. Louth",2494.1
"003 West Gate, Co. Louth",3251.9
"004 Dundalk Urban No. 1, Co. Louth",2556.9
"005 Dundalk Urban No. 2, Co. Louth",678.6
"006 Dundalk Urban No. 3, Co. Louth",1377.7
"007 Dundalk Urban No. 4, Co. Louth",2486.8
"008 Ardee Rural, Co. Louth",47.1
"009 Ardee Urban, Co. Louth",1046
"010 Castlebellingham, Co. Louth",91.9
"011 Clonkeen, Co. Louth",30.7
"012 Collon, Co. Louth",67.2
"013 Dromin, Co. Louth",40.7
"014 Dromiskin, Co. Louth",104.4
"015 Drumcar, Co. Louth",53.3
"016 Dunleer, Co. Louth",114.5
"017 Stabannan, Co. Louth",28.2
"018 Tallanstown, Co. Louth",45.2
"019 Ballymascanlan, Co. Louth",88.9
"020 Barronstown, Co. Louth",42.6
"021 Carlingford, Co. Louth",131.4
"022 Castlering, Co. Louth",57.6
"023 Castletown (Part Urban), Co. Louth",202.6
"024 Creggan Upper, Co. Louth",44.9
"025 Darver, Co. Louth",31.9
"026 Drummullagh, Co. Louth",56.5
"027 Dundalk Rural (Part Urban), Co. Louth",880.2
"028 Faughart, Co. Louth",52
"029 Greenore, Co. Louth",80.4
"030 Haggardstown (Part Urban), Co. Louth",328.5
"031 Jenkinstown, Co. Louth",57.5
"032 Killanny, Co. Louth",40
"033 Louth, Co. Louth",71.6
"034 Mansfieldstown, Co. Louth",52.6
"035 Rathcor, Co. Louth",53.6
"036 Ravensdale, Co. Louth",39.9
"037 Clogher, Co. Louth",127.9
"038 Dysart, Co. Louth",38.4
"039 Monasterboice, Co. Louth",58.5
"040 Mullary, Co. Louth",72.8
"041 St. Peter's (Part Urban), Co. Louth",258.6
"042 Termonfeckin, Co. Louth",123.7
"047 St. Mary's (Part Urban), Co. Louth",2573.8
"001 Ceannanus M�r (Kells) Urban, Co. Meath",1990.8
"002 Navan Urban, Co. Meath",2133.5
"003 Trim Urban, Co. Meath",2226.3
"004 Drumcondra, Co. Meath",28.6
"005 Grangegeeth, Co. Meath",25.1
"006 Killary, Co. Meath",25.1
"007 Culmullin, Co. Meath",31.4
"008 Donaghmore, Co. Meath",337.5
"009 Dunboyne, Co. Meath",178.6
"010 Dunshaughlin, Co. Meath",136.5
"011 Kilbrew, Co. Meath",109.9
"012 Killeen, Co. Meath",40.1
"013 Kilmessan, Co. Meath",61.6
"014 Kilmore, Co. Meath",42.6
"015 Rathfeigh, Co. Meath",35
"016 Ratoath, Co. Meath",294.8
"017 Rodanstown, Co. Meath",38.3
"018 Skreen, Co. Meath",38.9
"019 Ardagh, Co. Meath",28.5
"020 Ballinlough, Co. Meath",20.3
"021 Balrathboyne, Co. Meath",34.1
"022 Boherboy, Co. Meath",29.2
"023 Burry, Co. Meath",18.3
"024 Carrickleck, Co. Meath",25.7
"025 Castlekeeran, Co. Meath",30.1
"026 Ceannanus M�r (Kells) Rural (Part Urban), Co. Meath",234.2
"027 Cruicetown, Co. Meath",19.6
"028 Girley, Co. Meath",18
"029 Kilmainham, Co. Meath",31.3
"030 Kilskeer, Co. Meath",27.5
"031 Loughan, Co. Meath",24.9
"032 Maperath, Co. Meath",34.8
"033 Martry, Co. Meath",42.7
"034 Moybolgue, Co. Meath",22.2
"035 Moynalty, Co. Meath",29.1
"036 Newcastle, Co. Meath",25.1
"037 Newtown, Co. Meath",67.2
"038 Nobber, Co. Meath",34.8
"039 Posseckstown, Co. Meath",16.5
"040 Staholmog, Co. Meath",24.3
"041 Tailtin, Co. Meath",36.7
"042 Trohanny, Co. Meath",19.3
"043 Ardcath, Co. Meath",45.1
"044 Duleek, Co. Meath",139.4
"045 Julianstown, Co. Meath",207
"046 Mellifont, Co. Meath",22.3
"047 St. Mary's (Part Rural), Co. Meath",352.4
"048 Stamullin, Co. Meath",133.5
"049 Ardbraccan, Co. Meath",54.3
"050 Ardmulchan, Co. Meath",40.7
"051 Bective, Co. Meath",55.8
"052 Castletown, Co. Meath",29
"053 Domhnach Ph�draig, Co. Meath",43.2
"054 Kentstown, Co. Meath",70.7
"055 Navan Rural (Part Urban), Co. Meath",486
"056 Painestown, Co. Meath",36.6
"057 Rathkenny, Co. Meath",28.7
"058 Slane, Co. Meath",78.6
"059 Stackallan, Co. Meath",31.3
"060 Tara, Co. Meath",40.6
"061 Crossakeel, Co. Meath",25.6
"062 Crosskeys, Co. Meath",20.8
"063 Killallon, Co. Meath",12
"064 Killeagh, Co. Meath",15.9
"065 Knocklough, Co. Meath",12.8
"066 Moylagh, Co. Meath",16.9
"067 Oldcastle, Co. Meath",70.8
"068 Stonefield, Co. Meath",13.2
"069 Ardnamullan, Co. Meath",36.3
"070 Baile �tha Bu�, Co. Meath",130.7
"071 Ballyboggan, Co. Meath",19
"072 Ballyconnell, Co. Meath",29.8
"073 Castlejordan, Co. Meath",27.8
"074 Castlerickard, Co. Meath",107.3
"075 Cloghbrack, Co. Meath",20.7
"076 Clonmacduff, Co. Meath",35.2
"077 Gallow, Co. Meath",39.2
"078 Galtrim, Co. Meath",35.4
"079 Grennanstown, Co. Meath",50.9
"080 Hill of Down, Co. Meath",27
"081 Innfield, Co. Meath",128.1
"082 Cill Bhr�de, Co. Meath",29.3
"083 Kilcooly, Co. Meath",22
"084 Kildalky, Co. Meath",50.1
"085 Killaconnigan, Co. Meath",86.1
"086 Killyon, Co. Meath",18.1
"087 Laracor, Co. Meath",29.5
"088 Rahinstown, Co. Meath",28.2
"089 Rathmolyon, Co. Meath",36
"090 An R�th Mh�r, Co. Meath",36.9
"091 Summerhill, Co. Meath",76
"092 Trim Rural (Part Urban), Co. Meath",252.2
"001 Birr Urban, Co. Offaly",706.8
"002 Tullamore Urban, Co. Offaly",1476.7
"003 Ballycumber, Co. Offaly",33.2
"004 Banagher, Co. Offaly",108.5
"005 Birr Rural, Co. Offaly",62.3
"006 Broughal, Co. Offaly",6.5
"007 Cloghan, Co. Offaly",35.2
"008 Clonmacnoise, Co. Offaly",11.8
"009 Derrinboy, Co. Offaly",14.7
"010 Derryad, Co. Offaly",8.6
"011 Doon, Co. Offaly",15
"012 Dromoyle, Co. Offaly",15.3
"013 Drumcullen, Co. Offaly",15.6
"014 Eglish, Co. Offaly",7.6
"015 Ferbane, Co. Offaly",51.8
"016 Gallen, Co. Offaly",18.7
"017 Hinds, Co. Offaly",16.5
"018 Huntston, Co. Offaly",17.9
"019 Kilcolman, Co. Offaly",15.5
"020 Kilcormac, Co. Offaly",64.6
"021 Killyon, Co. Offaly",11.6
"022 Kinnitty, Co. Offaly",16.2
"023 Knockbarron, Co. Offaly",13.9
"024 Lea, Co. Offaly",10.8
"025 Letter, Co. Offaly",6.7
"026 Lumcloon, Co. Offaly",18
"027 Lusmagh, Co. Offaly",20.3
"028 Mounterin, Co. Offaly",10.3
"029 Moyclare, Co. Offaly",27.1
"030 Seirkieran, Co. Offaly",22.6
"031 Shannonbridge, Co. Offaly",11.5
"032 Shannonharbour, Co. Offaly",16.5
"033 Srah, Co. Offaly",32.4
"034 Ballaghassaan, Co. Offaly",3.9
"035 Ballyburly, Co. Offaly",56.8
"036 Ballymacwilliam, Co. Offaly",32
"037 Bracknagh, Co. Offaly",22
"038 Clonbulloge, Co. Offaly",17.5
"039 Clonmore, Co. Offaly",25.7
"040 Croghan, Co. Offaly",16.7
"041 Edenderry Rural, Co. Offaly",22.9
"042 Edenderry Urban, Co. Offaly",905.3
"043 Esker, Co. Offaly",15.2
"044 Knockdrin, Co. Offaly",8.2
"045 Monasteroris, Co. Offaly",28.9
"046 Aghancon, Co. Offaly",15.4
"047 Ballincor, Co. Offaly",14.7
"048 Barna, Co. Offaly",11.2
"049 Cangort, Co. Offaly",14.9
"050 Cullenwaine, Co. Offaly",28.4
"051 Dunkerrin, Co. Offaly",16.1
"052 Ettagh, Co. Offaly",21.8
"053 Gorteen, Co. Offaly",11.4
"054 Mountheaton, Co. Offaly",28.5
"055 Roscomroe, Co. Offaly",8.3
"056 Shinrone, Co. Offaly",45.7
"057 Templeharry, Co. Offaly",11.6
"058 Tulla, Co. Offaly",4.6
"059 Ballycommon, Co. Offaly",22.7
"060 Ballyshear, Co. Offaly",18.1
"061 Bawn, Co. Offaly",20.7
"062 Cappancur, Co. Offaly",31.3
"063 Clara, Co. Offaly",133.4
"064 Clonygowan, Co. Offaly",29.3
"065 Daingean, Co. Offaly",80.1
"066 Derrycooley, Co. Offaly",12.9
"067 Durrow, Co. Offaly",36.7
"068 Geashill, Co. Offaly",45.7
"069 Gorteen, Co. Offaly",25
"070 Hammerlane, Co. Offaly",23.8
"071 Kilclonfert, Co. Offaly",13.2
"072 Kilcumreragh, Co. Offaly",26.2
"073 Killeigh, Co. Offaly",31.2
"074 Killooly, Co. Offaly",12.3
"075 Killoughy, Co. Offaly",27.1
"076 Mountbriscoe, Co. Offaly",14.5
"077 O'Dempsey, Co. Offaly",13.1
"078 Portarlington North, Co. Offaly",116.1
"079 Rahan, Co. Offaly",30.5
"080 Raheenakeeran, Co. Offaly",25.2
"081 Rathfeston, Co. Offaly",21.1
"082 Rathrobin, Co. Offaly",17.3
"083 Screggan, Co. Offaly",85.5
"084 Silverbrook, Co. Offaly",34.2
"085 Tinamuck, Co. Offaly",20.5
"086 Tinnycross, Co. Offaly",52.8
"087 Tullamore Rural, Co. Offaly",175.3
"001 Athlone East Urban, Co. Westmeath",1794.4
"002 Athlone West Urban, Co. Westmeath",1333.9
"003 Athlone East Rural (Part Urban), Co. Westmeath",652.1
"004 Auburn, Co. Westmeath",36.7
"005 Ballybroder, Co. Westmeath",21.2
"006 Bellanalack, Co. Westmeath",41.5
"007 Carn, Co. Westmeath",36.8
"008 Castledaly, Co. Westmeath",23.5
"009 Glassan, Co. Westmeath",60.3
"010 Kilcumreragh, Co. Westmeath",22.3
"011 Killinure, Co. Westmeath",33
"012 Moate, Co. Westmeath",146.5
"013 Mount Temple, Co. Westmeath",38.2
"014 Moydrum (Part Urban), Co. Westmeath",143.9
"015 Muckanagh, Co. Westmeath",15.7
"016 Tubbrit, Co. Westmeath",24.8
"017 Umma, Co. Westmeath",13.3
"018 Ardnagragh, Co. Westmeath",26.5
"019 Ballymore, Co. Westmeath",35.9
"020 Doonis, Co. Westmeath",16.1
"021 Drumraney, Co. Westmeath",21.2
"022 Noughaval, Co. Westmeath",24.9
"023 Piercetown, Co. Westmeath",8.3
"024 Templepatrick, Co. Westmeath",12.4
"025 Winetown, Co. Westmeath",9.7
"026 Boherquill, Co. Westmeath",10.8
"027 Coole, Co. Westmeath",19.9
"028 Coolure, Co. Westmeath",16
"029 Finnea, Co. Westmeath",12.2
"030 Glore, Co. Westmeath",11.2
"031 Knockarrow, Co. Westmeath",6.1
"032 Rathowen, Co. Westmeath",23.5
"033 Street, Co. Westmeath",8.8
"034 Ballinlough, Co. Westmeath",19
"035 Ballyhealy, Co. Westmeath",25.4
"036 Ballynaskeagh, Co. Westmeath",19.9
"037 Bracklin, Co. Westmeath",14.6
"038 Clonarney, Co. Westmeath",23.8
"039 Collinstown, Co. Westmeath",40.8
"040 Copperalley, Co. Westmeath",18.6
"041 Delvin, Co. Westmeath",76.6
"042 Faughalstown, Co. Westmeath",16.5
"043 Fore East, Co. Westmeath",24
"044 Fore West, Co. Westmeath",20.8
"045 Hilltown, Co. Westmeath",13.1
"046 Kilcumny, Co. Westmeath",17.8
"047 Killua, Co. Westmeath",54.1
"048 Killulagh, Co. Westmeath",22.2
"049 Kilpatrick, Co. Westmeath",12.5
"050 Kinturk, Co. Westmeath",113.5
"051 Riverdale, Co. Westmeath",22.7
"052 Rosmead, Co. Westmeath",26.4
"053 Ardnaglew, Co. Westmeath",22.2
"054 Ballinalack, Co. Westmeath",26.7
"055 Ballykilmore, Co. Westmeath",39.1
"056 Ballymorin, Co. Westmeath",14.9
"057 Ballynagore, Co. Westmeath",27.1
"058 Belvidere, Co. Westmeath",39.8
"059 Carrick, Co. Westmeath",19
"060 Castle, Co. Westmeath",70.8
"061 Castlelost, Co. Westmeath",101
"062 Castletown, Co. Westmeath",28.4
"063 Churchtown, Co. Westmeath",15.8
"064 Cloghan, Co. Westmeath",26.3
"065 Clonfad, Co. Westmeath",34.3
"066 Clonlost, Co. Westmeath",22.4
"067 Derrymore, Co. Westmeath",25.1
"068 Dysart, Co. Westmeath",15
"069 Emper, Co. Westmeath",11
"070 Enniscoffey, Co. Westmeath",22.9
"071 Gaybrook, Co. Westmeath",30
"072 Glenlough, Co. Westmeath",7.3
"073 Greenpark, Co. Westmeath",17.2
"074 Griffinstown, Co. Westmeath",22.6
"075 Heathstown, Co. Westmeath",34.3
"076 Hopestown, Co. Westmeath",42.8
"077 Huntingdon, Co. Westmeath",23
"078 Jamestown, Co. Westmeath",8.9
"079 Kilbeggan, Co. Westmeath",92
"080 Kilbixy, Co. Westmeath",25.5
"081 Killare, Co. Westmeath",12.7
"082 Killucan, Co. Westmeath",128.5
"083 Kinnegad, Co. Westmeath",210.1
"084 Knockdrin, Co. Westmeath",26.5
"085 Lackan, Co. Westmeath",16.1
"086 Lauree, Co. Westmeath",11.5
"087 Middleton, Co. Westmeath",21.1
"088 Milltown, Co. Westmeath",18.9
"089 Mullingar Rural, Co. Westmeath",628.1
"090 Mullingar North Urban, Co. Westmeath",2087.3
"091 Mullingar South Urban, Co. Westmeath",1583.5
"092 Multyfarnham, Co. Westmeath",29.7
"093 Newtown, Co. Westmeath",12.7
"094 Owel, Co. Westmeath",37.8
"095 Portloman, Co. Westmeath",14.4
"096 Raharney, Co. Westmeath",41.6
"097 Rahugh, Co. Westmeath",14.7
"098 Rathconrath, Co. Westmeath",21.2
"099 Russellstown, Co. Westmeath",35.9
"100 Skeagh, Co. Westmeath",14.1
"101 Sonna, Co. Westmeath",19.3
"102 Stonehall, Co. Westmeath",13.9
"103 Streamstown, Co. Westmeath",26.5
"104 Taghmon, Co. Westmeath",23.1
"105 Tullaghan, Co. Westmeath",31.8
"106 Woodland, Co. Westmeath",21.5
"001 Enniscorthy Urban, Co. Wexford",2667
"002 New Ross Urban, Co. Wexford",2748.5
"003 Rosbercon Urban, Co. Wexford",1302.5
"004 Wexford No. 1 Urban, Co. Wexford",2752.7
"005 Wexford No. 2 Urban, Co. Wexford",3845.1
"006 Wexford No. 3 Urban, Co. Wexford",2803.5
"007 Ballindaggan, Co. Wexford",34.8
"008 Ballycarney, Co. Wexford",28.9
"009 Ballyhoge, Co. Wexford",42.6
"010 Ballyhuskard, Co. Wexford",48.3
"011 Ballymore, Co. Wexford",29.5
"012 Ballyvaldon, Co. Wexford",32.4
"013 Bolaboy, Co. Wexford",62.7
"014 Bree, Co. Wexford",47.9
"015 Castleboro, Co. Wexford",35
"016 Castledockrell, Co. Wexford",23.6
"017 Castle Ellis, Co. Wexford",43.4
"018 Castle Talbot, Co. Wexford",42.4
"019 Clonroche, Co. Wexford",38.2
"020 Edermine, Co. Wexford",51.6
"021 Enniscorthy Rural (Part Urban), Co. Wexford",244.4
"022 Ferns, Co. Wexford",152.7
"023 Kilbora, Co. Wexford",29.3
"024 Kilcormick, Co. Wexford",30.1
"025 Killann, Co. Wexford",22.9
"026 Kilmallock, Co. Wexford",54.6
"027 Killoughrum, Co. Wexford",36.6
"028 Kilrush, Co. Wexford",20.9
"029 Kiltealy, Co. Wexford",25.6
"030 Marshalstown, Co. Wexford",43.7
"031 Moyacomb, Co. Wexford",18.2
"032 Newtownbarry, Co. Wexford",94.9
"033 Rossard, Co. Wexford",15
"034 St. Mary's, Co. Wexford",27.8
"035 The Harrow, Co. Wexford",31.2
"036 The Leap, Co. Wexford",38.7
"037 Tinnacross, Co. Wexford",38.6
"038 Tombrack, Co. Wexford",28.6
"039 Ardamine, Co. Wexford",146.4
"040 Balloughter, Co. Wexford",22.7
"041 Ballybeg, Co. Wexford",24.4
"042 Ballycanew, Co. Wexford",63.4
"043 Ballyellis, Co. Wexford",32.5
"044 Ballygarrett, Co. Wexford",41.1
"045 Ballylarkin, Co. Wexford",48.6
"046 Ballynestragh, Co. Wexford",55
"047 Cahore, Co. Wexford",23.9
"048 Coolgreany, Co. Wexford",45.4
"049 Courtown, Co. Wexford",80.1
"050 Ford, Co. Wexford",35.4
"051 Gorey Rural, Co. Wexford",229.1
"052 Gorey Urban, Co. Wexford",2100.6
"053 Huntingtown, Co. Wexford",26.4
"054 Kilcomb, Co. Wexford",43.6
"055 Kilgorman, Co. Wexford",48.8
"056 Killenagh, Co. Wexford",34.2
"057 Killincooly, Co. Wexford",61.2
"058 Kilnahue, Co. Wexford",28.8
"059 Limerick, Co. Wexford",44.8
"060 Monamolin, Co. Wexford",41.1
"061 Monaseed, Co. Wexford",30.2
"062 Rossminoge, Co. Wexford",37.2
"063 Wells, Co. Wexford",30.7
"064 Wingfield, Co. Wexford",24
"065 Adamstown, Co. Wexford",42.8
"066 Ballyanne, Co. Wexford",36.2
"067 Ballyhack, Co. Wexford",62.2
"068 Barrack Village, Co. Wexford",7.2
"069 Barronstown, Co. Wexford",30.7
"070 Carnagh, Co. Wexford",30.2
"071 Carrickbyrne, Co. Wexford",30.6
"072 Clongeen, Co. Wexford",43.4
"073 Clonleigh, Co. Wexford",27.2
"074 Dunmain, Co. Wexford",30
"075 Fethard, Co. Wexford",53.6
"076 Horetown, Co. Wexford",26.8
"077 Inch, Co. Wexford",35.2
"078 Kilgarvan, Co. Wexford",25.1
"079 Killesk, Co. Wexford",32.3
"080 Kilmokea, Co. Wexford",61.1
"081 Newbawn, Co. Wexford",25.1
"082 New Ross Rural, Co. Wexford",240.9
"083 Oldcourt, Co. Wexford",38.6
"084 Old Ross, Co. Wexford",34.9
"085 Rathroe, Co. Wexford",34
"086 Rochestown, Co. Wexford",22.8
"087 Templeludigan, Co. Wexford",22.8
"088 Templetown, Co. Wexford",26.9
"089 Tintern, Co. Wexford",43.2
"090 Whitechurch, Co. Wexford",28.5
"091 Whitemoor, Co. Wexford",27.3
"092 Ardcavan, Co. Wexford",131
"093 Ardcolm, Co. Wexford",41.8
"094 Artramon, Co. Wexford",44.6
"095 Aughwilliam, Co. Wexford",34.3
"096 Ballymitty, Co. Wexford",30.1
"097 Bannow, Co. Wexford",46.7
"098 Bridgetown, Co. Wexford",57
"099 Carrick, Co. Wexford",129.7
"100 Drinagh, Co. Wexford",66.3
"101 Duncormick, Co. Wexford",42.6
"102 Forth, Co. Wexford",54.7
"103 Glynn, Co. Wexford",57
"104 Harperstown, Co. Wexford",36.7
"105 Harristown, Co. Wexford",32.7
"106 Kilbride, Co. Wexford",30.6
"107 Kilcowan, Co. Wexford",33.9
"108 Killag, Co. Wexford",24.4
"109 Killinick, Co. Wexford",48.6
"110 Killurin, Co. Wexford",50.9
"111 Kilmore, Co. Wexford",84.5
"112 Kilpatrick, Co. Wexford",48.5
"113 Kilscoran, Co. Wexford",69.2
"114 Lady's Island, Co. Wexford",52.4
"115 Mayglass, Co. Wexford",48
"116 Newcastle, Co. Wexford",62.4
"117 Rathaspick, Co. Wexford",85.7
"118 Rosslare, Co. Wexford",124.1
"119 St. Helen's, Co. Wexford",186.9
"120 Tacumshin, Co. Wexford",30.9
"121 Taghmon, Co. Wexford",54.8
"122 Tomhaggard, Co. Wexford",37
"123 Wexford Rural (Part Urban), Co. Wexford",948.4
"124 Whitechurch, Co. Wexford",25.3
"001 Arklow No. 1 Urban, Co. Wicklow",2402.5
"002 Arklow No. 2 Urban, Co. Wicklow",1362.7
"003 Bray No. 1, Co. Wicklow",3345.4
"004 Bray No. 2, Co. Wicklow",2756.4
"005 Bray No. 3, Co. Wicklow",4611.4
"006 Rathmichael (Bray), Co. Wicklow",7689
"007 Wicklow Urban, Co. Wicklow",2201.5
"008 Ballinguile, Co. Wicklow",5.3
"009 Baltinglass, Co. Wicklow",140.2
"010 Blessington, Co. Wicklow",74.5
"011 Burgage, Co. Wicklow",122.6
"012 Donaghmore, Co. Wicklow",25.1
"013 Donard, Co. Wicklow",26.3
"014 Dunlavin, Co. Wicklow",76.3
"015 Eadestown, Co. Wicklow",11.5
"016 Hartstown, Co. Wicklow",18.4
"017 Hollywood, Co. Wicklow",26
"018 Humewood, Co. Wicklow",18.4
"019 Imael North, Co. Wicklow",5.3
"020 Imael South, Co. Wicklow",11.3
"021 Kilbride, Co. Wicklow",20.7
"022 Lackan, Co. Wicklow",12.6
"023 Lugglass, Co. Wicklow",4.5
"024 Rathdangan, Co. Wicklow",19
"025 Rathsallagh, Co. Wicklow",19.5
"026 Stratford, Co. Wicklow",50.3
"027 Talbotstown, Co. Wicklow",28.7
"028 The Grange, Co. Wicklow",24.6
"029 Tober, Co. Wicklow",26.4
"030 Togher, Co. Wicklow",18.8
"031 Tuckmill, Co. Wicklow",24.3
"032 Delgany, Co. Wicklow",488.6
"033 Enniskerry, Co. Wicklow",90.2
"034 Greystones, Co. Wicklow",1914.8
"035 Kilmacanoge (Part Urban), Co. Wicklow",518.9
"036 Powerscourt, Co. Wicklow",13.7
"037 Altidore, Co. Wicklow",20.4
"038 Arklow Rural, Co. Wicklow",21.6
"039 Aughrim, Co. Wicklow",69.7
"040 Avoca, Co. Wicklow",51.3
"041 Ballinaclash, Co. Wicklow",32.3
"042 Ballinacor, Co. Wicklow",6.7
"043 Ballinderry, Co. Wicklow",22.2
"044 Ballyarthur, Co. Wicklow",59.1
"045 Ballycullen, Co. Wicklow",23.7
"046 Brockagh, Co. Wicklow",9.7
"047 Calary, Co. Wicklow",9.9
"048 Cronebane, Co. Wicklow",34.9
"049 Dunganstown East, Co. Wicklow",32.8
"050 Dunganstown South, Co. Wicklow",38.7
"051 Dunganstown West, Co. Wicklow",18.2
"052 Ennereilly, Co. Wicklow",20.9
"053 Glendalough, Co. Wicklow",4.5
"054 Glenealy, Co. Wicklow",68.6
"055 Kilbride, Co. Wicklow",36
